file,token,time,sequence,sample,amplitude
01-breathy,2,0.19487603288821803,1,0.6898382590217031,0.139548628363717
01-breathy,2,0.19487603288821803,1,0.7120911060869194,0.12069656649396789
01-breathy,2,0.19487603288821803,1,0.7343439531521356,0.08849865295803673
01-breathy,2,0.19487603288821803,1,0.7565968002173518,0.039378237783290686
01-breathy,2,0.19487603288821803,1,0.778849647282568,0.03179393749072963
01-breathy,2,0.19487603288821803,1,0.8011024943477842,0.01428973588392897
01-breathy,2,0.19487603288821803,1,0.8233553414130005,0.0386550090414723
01-breathy,2,0.19487603288821803,1,0.8456081884782167,0.03804985071412574
01-breathy,2,0.19487603288821803,1,0.867861035543433,0.09837828935508604
01-breathy,2,0.19487603288821803,1,0.8901138826086492,0.14106031479700595
01-breathy,2,0.19487603288821803,1,0.9123667296738655,0.14284736097666842
01-breathy,2,0.19487603288821803,1,0.9346195767390817,0.1588184518153868
01-breathy,2,0.19487603288821803,1,0.9568724238042979,0.2342663848495791
01-breathy,2,0.19487603288821803,1,0.9791252708695141,0.29648289070452144
01-breathy,2,0.2967764184658281,2,0,0.34502769442557174
01-breathy,2,0.2967764184658281,2,0.02262779453487617,0.3588424689330624
01-breathy,2,0.2967764184658281,2,0.04525558906975234,0.35553196628429945
01-breathy,2,0.2967764184658281,2,0.06788338360462852,0.39271862639750377
01-breathy,2,0.2967764184658281,2,0.09051117813950468,0.39959599016956027
01-breathy,2,0.2967764184658281,2,0.11313897267438086,0.41047149839798597
01-breathy,2,0.2967764184658281,2,0.13576676720925704,0.47231365007338866
01-breathy,2,0.2967764184658281,2,0.15839456174413322,0.39786209136541834
01-breathy,2,0.2967764184658281,2,0.18102235627900937,0.40542248534491415
01-breathy,2,0.2967764184658281,2,0.20365015081388554,0.41108908704739044
01-breathy,2,0.2967764184658281,2,0.22627794534876172,0.3708044137887579
01-breathy,2,0.2967764184658281,2,0.2489057398836379,0.4042821560386213
01-breathy,2,0.2967764184658281,2,0.2715335344185141,0.40069955025927145
01-breathy,2,0.2967764184658281,2,0.29416132895339026,0.42056435293966926
01-breathy,2,0.2967764184658281,2,0.31678912348826643,0.3963531383597301
01-breathy,2,0.2967764184658281,2,0.33941691802314256,0.3723011646551363
01-breathy,2,0.2967764184658281,2,0.36204471255801873,0.39197886549031413
01-breathy,2,0.2967764184658281,2,0.3846725070928949,0.39110783811171773
01-breathy,2,0.2967764184658281,2,0.4073003016277711,0.40029891427778025
01-breathy,2,0.2967764184658281,2,0.42992809616264727,0.38244641228327536
01-breathy,2,0.2967764184658281,2,0.45255589069752344,0.3810528417631489
01-breathy,2,0.2967764184658281,2,0.4751836852323996,0.9704398418243811
01-breathy,2,0.2967764184658281,2,0.4978114797672758,0.9143521088110994
